sample,mRNA,ncRNA,tRNA,mRNA_percent,ncRNA_percent,tRNA_percent,no_feature_percent,general.5_3_bias,status
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_4,8559741,21433,1590,84.57,0.21,0,15.220000000000013,0.38,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_90_none_3,11271385,9522,286,90.42,0.08,0,9.5,0.31,0
WT_YPD_none_Glucose_2_1440_none_6,4336907,3619,102,85.42,0.07,0,14.510000000000005,0.4,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_90_none_4,6250140,5299,276,91.17,0.08,0,8.75,0.29,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_cAMP_1,5435195,88799,2233,79.79,1.3,0,18.909999999999997,0.26,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,6220655,5549,163,91.14,0.08,0,8.780000000000001,0.28,0
YGL209W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,1605554,1488,63,91.57,0.08,0,8.350000000000009,0.26,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_4,5331138,3939,256,90.88,0.07,0,9.050000000000011,0.31,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_1,10379761,6507,232,90.61,0.06,0,9.329999999999998,0.24,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_4,10695848,7958,481,90.17,0.07,0,9.760000000000005,0.13,0
WT_Minimal_HisMetLeuUra_Galactose_2_30_none_4,8981927,16064,755,86.56,0.15,0,13.289999999999992,0.23,0
YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,687727,271,8,95.14,0.04,0,4.819999999999993,0.21,1
YBR033W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,6955462,19805,263,78.6,0.22,0,21.180000000000007,0.31,0
YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,5843649,16586,119,78.72,0.22,0,21.060000000000002,0.25,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,2541602,2263,90,89.41,0.08,0,10.510000000000005,0.15,0
YBR033W_YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,3899039,6823,58,81.62,0.14,0,18.239999999999995,0.5,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_2,7769294,6312,380,90.6,0.07,0,9.330000000000013,0.26,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_30_none_2,6251025,5952,245,91.72,0.09,0,8.189999999999998,0.32,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,7510152,6158,218,90.81,0.07,0,9.120000000000005,0.19,0
WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_3,6103270,40645,626,85.04,0.57,0,14.39,0.35,0
