unmapped_percent,sample,status
0.73,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_45_none_3,0
0.53,WT_YPD_none_none_2_1440_none_4,0
0.64,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
1.32,YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,0
1.3199999999999998,YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
0.51,WT_Minimal_HisMetLeuUra_Galactose_2_45_none_3,0
0.96,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_45_none_2,0
0.71,YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,0
1.33,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_3,0
1.5999999999999999,YGL209W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
1.61,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_3,0
1.5,YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,0
1.1300000000000001,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
1.29,YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
1.17,YBR033W_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,0
0.55,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_180_1NMPP7_2,0
0.91,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_0.001_-1_none_1,0
0.86,YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_4,0
1.59,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_90_none_3,0
0.79,WT_YPD_none_Glucose_2_1440_none_6,0
0.97,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_90_none_4,0
1.52,YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_cAMP_1,0
0.8099999999999999,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,0
1.54,YGL209W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,0
1.2400000000000002,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_4,0
0.8999999999999999,YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
1.61,YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_4,0
0.55,WT_Minimal_HisMetLeuUra_Galactose_2_30_none_4,0
1.21,YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
2.84,YBR033W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
3.5999999999999996,YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
1.5799999999999998,YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,0
4.0600000000000005,YBR033W_YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
1.15,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
0.8800000000000001,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_30_none_2,0
1.29,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
0.77,WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_3,0
1.31,YBR033W_YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,0
0.5700000000000001,WT_YPD_none_none_2_1440_none_3,0
0.85,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_45_none_1,0
0.79,YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_cAMP_1,0
1.17,YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
1.42,YBR033W_YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
1.36,YGL209W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
4.93,YBR033W_YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,0
1.11,YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
0.65,WT_Minimal_HisMetLeuUra_Glucose_2_45_none_6,0
1.56,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_1,0
0.66,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_90_1NMPP7_4,0
1.5899999999999999,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_3,0
1.25,YGL209W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
1.78,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,0
1.4100000000000001,YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_6,0
0.66,WT_Minimal_HisMetLeuUra_Galactose_2_180_none_2,0
1.2200000000000002,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
1.08,YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_1,0
1.19,YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,0
1.3599999999999999,YGL209W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
