sample,status
YBR033W_YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,0
YBR033W_YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_3,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
YBR033W_YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
YBR033W_YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,0
YBR033W_YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,0
YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,0
YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,0
YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,0
YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_cAMP_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_cAMP_2,0
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_cAMP_3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,8
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,8
YDR477W_Minimal_HisMetLeuUra_Glucose_2_-1_cAMP_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_cAMP_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_cAMP_2,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_cAMP_3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_cAMP_4,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,8
YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_2,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_4,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_2,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_4,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,8
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_cAMP_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_cAMP_2,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_cAMP_3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_cAMP_4,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,8
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_2,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_4,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,8
YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_cAMP_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_cAMP_2,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_cAMP_3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_cAMP_4,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,8
YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,0
YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,0
YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_3,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_4,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_4,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_3,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_4,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_1,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_2,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_3,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_4,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_3,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,8
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,8
